time,packet,temperature,pressure,altitude,battery,rssi,humidity,light,pitch,roll,packetLoss,gpsLock,sdLogging,flightMode
14:27:00,1,24.1,1012.4,0.0,8.40,92,47.8,120,0.0,0.0,0.5,true,true,IDLE
14:27:02,2,24.2,1011.9,8.2,8.39,91,47.6,122,0.3,0.1,0.5,true,true,ASCENT
14:27:04,3,24.3,1011.5,17.1,8.38,90,47.4,124,0.6,0.2,0.6,true,true,ASCENT
14:27:06,4,24.6,1010.8,26.5,8.37,89,47.1,126,1.1,0.4,0.7,true,true,ASCENT
14:27:08,5,25.0,1009.9,39.4,8.35,88,46.9,128,1.8,0.5,0.8,true,true,ASCENT
14:27:10,6,25.4,1008.9,52.7,8.34,87,46.7,130,2.4,0.7,0.9,true,true,ASCENT
14:27:12,7,25.9,1007.6,67.1,8.33,86,46.4,132,3.0,0.8,1.0,true,true,ASCENT
14:27:14,8,26.2,1006.2,81.5,8.32,85,46.1,134,3.7,1.1,1.2,true,true,ASCENT
14:27:16,9,26.8,1004.8,94.6,8.31,84,45.8,136,4.4,1.3,1.3,true,true,APOGEE
14:27:18,10,27.2,1003.5,101.2,8.30,83,45.5,138,4.8,1.6,1.5,true,true,APOGEE
